file,target,preposition,determiner,pronoun,male_feature_count,female_feature_count
e4c2bef9fcc41f2681fc502d6fba5703,1,42,0,358,71,10
45e0b78a892812f89a7ef0626bf4d81,1,20,3,253,58,29
3f951fa8e1340f6ed863ae78298bd1ab,1,12,2,166,66,24
9ae581dda7fd9c3587b5c146ad9972b1,1,23,2,237,82,24
5f2a1b80dfc890965384d9847cf46d4c,1,13,1,232,69,11
c6abda9596747ddc85c8ae3a70d0b9ed,1,2,0,183,40,10
4517849641711cc18606b7b8a99380e,1,22,3,272,96,26
ba053834517708a073203aef1756e63e,1,7,1,178,32,17
da1b54c48d3219b7913d23bce557fb58,1,17,2,237,90,22
6c8dc5a74ad0b5faba9aab90907fef8e,1,6,4,195,68,17
efb47ba3a0b0a35fcb24d989c7b1f8b,1,16,3,220,97,34
f09bdd87bf3002aa3df93cdfa4b7c432,1,21,4,274,80,25
193d6ccf6ad722c17e781c89c13325b,1,17,3,194,67,21
a15c52ca5d6d6f8bb21ebf610b590ade,1,12,2,203,82,35
b6c9d97d1bcba9303ba3c5d3af30100e,1,17,1,221,74,16
9fba3236a9e2bcaa987322d52209192,1,13,1,359,41,26
7663965c14ae5ceda6584ca125d11a72,1,19,5,242,50,8
3ebfc85cd533a7ac5b0defb646e927f7,1,15,3,245,91,25
dfc5e4f29f191cf4222254d4b8b1c929,1,5,0,248,21,14
546e3ccfd2de9d5ee2d3a255ba3f2db9,1,16,1,251,83,19
8129dde93e85579c3a043a84706ef52d,1,7,0,403,92,6
fb789a442af2f13e1b46d3420d066499,1,10,1,211,91,24
f971bea7b54c776875dfcfde3afef044,1,22,5,177,87,25
cfe4ecc82ac35524755b84d002675a1e,1,5,3,256,67,19
6e8969e061f87e31ca8af037d934556d,1,15,3,169,79,31
39043c804d67abe58227850d794b848f,1,15,2,218,77,34
cb295c128f8654d21ad8fc2351e66d2d,1,6,12,139,32,8
7c68fc541c7fbfc8f452862b708a04ce,1,16,2,188,49,25
d470d431abea48fd9855e6591168cddf,1,29,4,308,85,31
dca5d22795a05be01d3266e58089f59a,1,3,0,136,124,1
8d2c67b2ec1ebad51138104cde3bea90,1,7,3,132,52,17
4b664f543f2b6a4fd5e07497565d6546,1,15,1,258,80,20
3aa3d14610eb6c8d82a7284078a4c096,1,14,3,252,80,27
de0371c77bcc959d4978415e59b2c530,1,9,0,145,43,16
d884ec2ae10150e00c3709ee4edf32b6,1,7,2,207,53,24
9887d62743459eb9a7316f154a99d17f,1,9,1,194,64,32
d36045e716790c2d6bffeb126c27bef6,1,7,2,247,63,21
cd08833a43544126a8b3213df8e8dbd1,1,15,0,176,74,22
56c948f386af10e852bfccb504a09fae,1,13,0,189,48,13
b25057d3bc8238919c074c1e173d266d,1,21,4,287,117,40
e6485b1dbbe778e2d049fcb8af1e8951,1,50,0,307,119,16
dacf95cf7a3c9e7af18c5db0535122d1,1,14,0,237,95,37
e370058ed3fcece335ac8e14d837c41c,1,12,1,291,61,18
c3cb2d35e68b013c4f6206f44ef4cb99,1,11,5,163,52,31
ad8589ac44e97c530602ddf5ccad3e7a,1,15,0,288,92,33
654ca4f70634d3c30add083a6a9efe28,1,15,3,312,101,37
7a6066fc710b07509595a8292024df6b,1,46,1,223,84,11
e880a701496090969c85351567e7bd3e,1,22,1,281,78,25
6781df43d41c931ad4646eb7ef5b70b2,1,7,1,239,103,33
f7dbb84a737b1f7537dfd78df203620a,1,14,2,176,59,19
e03d5e6b7f64f0dd50877ad632dcbd53,1,7,2,210,75,22
dd79a46aa7eb3acb40ee5f06a0d945dd,1,7,3,162,74,26
a7a253df9110ad88414a672b040d02c2,1,16,1,220,62,22
15487914dc6f0af8ca8fe62f55ad74ad,1,12,1,315,32,14
2fb083b98a09460f7d2c5531806ee92d,1,17,3,253,73,25
e4bc07095b1cdfaab3ff5b116817e026,1,15,1,273,90,15
637e2a2ba1dc87415948e1135f7b05bd,1,19,0,250,75,16
2a64e09dac4b6312439949580d0e3892,1,35,3,241,87,17
750bb8ad25ad20a015850a5a2730512d,1,15,2,280,61,24
81e3a975ec3dab4f137c38ceb1b05676,1,7,1,241,71,25
b2b780c4e4f5fe50c9d034a95ad9099b,1,7,4,321,87,31
5b7e79335b3c7d8879a872fe501998c2,1,16,1,333,59,24
444370a76a00a50420b8d16d6dadedb8,1,15,4,296,65,22
b9e85936face8c058c337622afc74863,1,13,0,236,61,20
eeb0053cbefd7f00a973e65e15fd25d6,1,11,1,219,50,15
71151f9168b5d13752649ab20b4dc1c4,1,9,2,271,69,16
6b2aae794ecd025a825cecea40ce6771,1,11,2,191,50,15
462ee1d71924122bdf8a531baa798287,1,17,2,141,51,6
5a316da067430557e0813ec12dddc061,1,5,3,186,66,23
9f15c06405ff47009c58122b3096e307,1,8,0,202,70,29
62db986a921f6aa20c1bef01a1628cc0,1,15,0,146,47,2
52b7bb4b139172dbf5521e2857474977,1,35,1,324,129,32
2632cdf84d1b267ff697424b290714be,1,14,5,257,43,23
8bbaf8237695dffe77a19e05d1bdc10c,1,38,1,230,60,11
8da189789db95ad789ea8cd06b97bf7d,1,9,1,209,68,22
e236c47b64750ca1b99ae166b412c1b5,1,15,1,150,53,19
bf3d2ae4c0e365df431d3ef134ce2299,1,8,4,318,101,23
241d6806c3833844bdeb8de15a15c521,1,11,2,228,35,15
d67b0a07c5db7da4b50cdbdbc718d45d,1,35,1,294,98,25
944496c65786ed87ee96bd8f2900af26,1,21,5,226,76,19
64a3a556189b2822c437f16210931ee9,1,16,4,176,63,18
18f9d3dc73b07e08534437d9110f9ba8,1,10,4,270,75,31
